,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
133,51.667,73.703,11.4965,-7.559,22.14,-24.000999999999998,3.004,3.4665,-0.723,0.3155,-10.278500000000001,-1.6955
134,44.921499999999995,-15.411000000000001,-12.209,-5.2905,11.1135,-20.877000000000002,-15.919,-4.035,2.2735000000000003,-1.2414999999999998,-8.899000000000001,-6.324999999999999
135,49.084,1.942,-1.473,-21.185,26.304,2.249,-10.223,-2.388,-6.069,0.711,-13.717,0.71
136,51.663,54.135,7.449,-4.581,28.857,-27.126,2.618,-1.856,-9.2,-1.143,-6.782,-2.615
137,48.382,-20.915,8.338,10.512,37.511,-29.674,-14.144,-4.833,-2.934,7.925,-7.8,-4.531
138,48.392,53.303,2.942,-7.191,33.912,-32.683,-10.845,2.247,-5.792,5.634,-11.918,-12.756
139,50.713499999999996,29.316000000000003,12.629999999999999,-1.581,27.195999999999998,-21.519,7.1625,4.8774999999999995,-11.659500000000001,0.46699999999999997,-9.633,-2.1215
140,51.288,58.847,10.899,-6.961,20.106,-28.372,5.857,7.274,2.419,2.243,-11.084,-0.232
141,50.644,15.776,3.574,-10.8,30.544,-25.646,-0.996,-0.541,-13.99,-4.027,-9.45,-0.448
142,53.169,89.205,52.781,9.007,37.614,-16.666,-0.009,2.297,-2.975,0.256,-11.994,0.017
143,51.452,61.823,-1.432,-11.968,5.327,-29.405,10.305,7.267,-2.876,5.424,-11.984,-6.162
144,52.956,35.179,18.297,-3.13,24.451,-29.273,24.463,3.05,-1.247,1.97,-8.619,-1.501
145,49.434,48.74,15.0785,11.5715,27.4555,-20.1785,6.985,-0.444,-10.544,3.8635,-18.411,-2.473
146,52.3075,83.02600000000001,2.6925,5.4350000000000005,22.923000000000002,-11.646,9.692,2.6715,-2.9165,-0.3415,-20.738999999999997,1.7305000000000001
147,52.681,61.178,12.127,-0.911,16.113,-15.089,-0.93,3.313,-9.897,4.473,-14.298,-4.73
148,53.558,88.643,21.506,-10.647,27.146,-28.05,3.887,3.839,-4.009,-0.047,-7.47,9.962
149,50.730999999999995,38.462999999999994,7.494,-9.082,24.3935,-16.625999999999998,0.1305,3.3415,-5.271,1.228,-12.0275,-8.7385
150,54.2945,53.123999999999995,30.378500000000003,-4.5385,33.349000000000004,-30.2195,20.673499999999997,7.640499999999999,-3.5004999999999997,1.2365,-10.035,-0.1455
151,52.743,53.847,53.472,2.577,55.215,-31.023,3.302,0.29,-6.837,-1.366,-5.025,2.949
152,48.159499999999994,31.9185,18.6085,-3.848,47.942499999999995,-14.812,-7.7115,-0.23299999999999998,-9.117999999999999,-1.9329999999999998,-12.1005,0.8145
153,45.413,22.482,-26.043,24.216,19.083,-39.361,-8.36,2.402,-18.008,3.696,-12.08,-6.534
154,47.397,38.039,-34.062,-12.184,12.989,-8.462,10.88,-4.974,-14.773,5.479,-22.08,-0.331
155,47.9965,44.8505,-20.919,-8.193,3.2735000000000003,-17.005000000000003,1.4145,1.2315,-6.9815000000000005,5.2895,-15.9265,-3.04
156,53.432,20.644,13.391,-2.644,22.558,-31.801,7.492,-6.777,-7.69,-4.854,-6.723,-5.274
157,52.798500000000004,20.1185,9.984,3.266,27.8625,-25.122999999999998,18.2365,7.4365,2.4355,-0.9764999999999999,-12.1595,-6.2245
158,52.171,56.6495,12.078,-2.2395,5.175000000000001,-23.201,14.340499999999999,1.1549999999999998,3.5614999999999997,4.122,-15.0045,-2.4619999999999997
159,51.608000000000004,88.4795,4.832000000000001,13.953,20.18,-7.9625,-0.5619999999999999,-2.1885,-6.945,8.383,-24.718,-5.656499999999999
160,52.752,20.206,-6.469,-13.817,42.627,-33.478,7.271,2.338,3.23,7.609,-13.527,-1.212
161,53.545,73.61,19.007,-17.043,12.457,-25.218,8.109,0.893,-10.438,0.145,-7.964,5.943
162,45.239999999999995,-7.729,-43.0835,13.786999999999999,19.5065,-28.865000000000002,-10.911,-6.893,-15.063500000000001,1.321,-13.629999999999999,3.6494999999999997
163,53.889,74.58,25.723,-11.289,16.079,-27.098,-4.905,-0.279,-2.607,4.451,-9.922,-7.342
164,46.49,19.061,-13.847,-9.382,9.913,-26.706,8.209,0.398,-1.062,0.379,-16.081,-6.646
165,53.852000000000004,62.2255,12.2775,-3.0055,26.052500000000002,-27.0365,0.2355,5.561999999999999,-13.911,6.094,-12.517,0.398
166,53.576,84.56,33.59,18.444,22.237,-31.892,9.308,5.808,-13.996,5.311,-11.067,3.828
167,50.693,31.1545,5.666499999999999,-2.822,21.147,-30.9105,7.0685,1.689,-8.344000000000001,0.905,-7.0805,4.0385
